Name,standing stones/bouldrers,orthostats/boulders and bank,ditch and bank,bank ,stones on or protrude from mound,"other, inc once below mound",regularly spaced,irregularly spaced,contiguoius,bank faced inside,bank faced outside,stones on inside and outside,orthostats in centre of bank,all horizontal,stones protrrude from/on mound ,below mound,no perimeter focal point,gap,porch,portal stones,tall stone ,recumbent,splayed,other,nothing in interior,mound whole are,mound separate,mound seperte &kerb,ring cairn,boulder burial,megalithic tomb,menhir,boulder,stone circle insiode,other stone structure,other perimeter focal point,menir outside,more than one mehir outside,arc outside,paired stones outside,avenue row,other interior feature,part of complex,other outside feature,diam 1,diam 2,diam 3,diam 4
Cairnpapple,,,y,,,,,,,,,,,,,,?,,,,,,,,,,,y,,,,,,y,,,,,,,,,,,,y,,
Carperby,,y,,,,,,,,y,,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,,
Casterton,,y,,,,,,,,y,,,,,y,,,,,,,,,?,,y,,,,,,,,,,,,,,,,,,,y,,,
Castlehowe Scar,y,,,,,,y,,,,,,,,,,,y,,,,,,?,y,,,,,,,,,,,,,,,,,,,,y,,,
Castlerigg,y,,,,,,,y,,,,,,,,,,,,y,,,,,,,,,,,,,,,y,,,,,,,,,,,y,,
Cauldside Burn,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,y,y,,y,,,
Cerrig Arthur,,y,,,,,,,,?,,,,,,,,,?,,,,,,y,,,,,,,,,,,,?,,,,,,,,y,,,
Cerrig Duon,,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,y,,,,,,y,,y,,,
Cerrig Gaerau,y,,,,,,y,,,,,,,y,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Cheetham's Close,y,,,,,,?,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,?,,,y,,,
Claughried,y,,,,,,y,,,,,,,,,,,,,,,,,?,y,,,,,,,,,,,,,,,,,y,y,,y,,,
Cnoc An Liath-Baihd,y,,,,,,y,,,,,,,,,,,,,,?,,,,,,,,,,,,,y,,,,,,,,,,,y,,,
Cockpit,,y,,,,,,,,,,y,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,?,,y,,,
Colen Wood,y,,,,,,y,,,,,,,,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Coulton,y,,,,,,?,,,,,,?,,,,?,,,,,,,,y,?,,,,,,,,,,,,,,,,,,,,y,,
Craddock Moor,y,,,,,,y,,,,,,,?,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,y,,
Croft Moraig,y,,,,,,y,,,,,,,,,,,,,y,,,,,,?,,,,,,,,y,,,,,,?,,,,,y,,,
Cullerlie,y,,,,,,y,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,y,,,,,,,,,y,,,
Dailharraid,y,,,,,,y,,,,,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,,
Delph Hill/Extwistle Moor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,
Doll Tor,,,,,y,,y,,,,,,,,,,,,,,,,,y,,y,,,,,,,,,,,,,,,,y,,,y,,,
Drannandow,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,?,,y,,,
Druid's Seat Wsood,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
