,standing stones/bouldrers,orthostats/boulders and bank,ditch and bank,bank ,stones on or protrude from mound,"other, inc once below mound",regularly spaced,irregularly spaced,contiguoius,bank faced inside,bank faced outside,stones on inside and outside,orthostats in centre of bank,all horizontal,stones protrrude from/on mound ,below mound,no perimeter focal point,gap,porch,portal stones,tall stone ,recumbent,splayed,other,nothing in interior,mound whole are,mound separate,mound seperte &kerb,ring cairn,boulder burial,megalithic tomb,menhir,boulder,stone circle insiode,other stone structure,other,menir outside,more than one mehir outside,arc outside,paired stones outside,avenue row,other,part of complex,other,diam 1,diam 2,diam 3,diam 4
"Shian Bank SE, P&K",y,,,,,,?,,,,,,,,,,?,,,,,,,?,,?,,,,,,,,,,,,,,,,,y,,y,,,
"Simonburn, Pen",Y,,,,,,?,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,y,,,
"Six Stones, Powys",y,,,,,,?,,,,,,,,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Smelting Hill, Derby",,y,,,,,,,,y,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"South Ytsie, Aber",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"St. Colmac’s Cottages, Bute",Y,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,?,,y,,,
"Standing stones, Moor Divock",y,,,,,,,,,,,,,,y,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,y,,y,,,
"Stanton, Corn",y,,,,,,,y,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,y,,
"Stripple Stones, Corn",,,y,,,,y,,,,,,,,,,,y,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,y,
Strointollier 1,y,,,,,,,,y,,,,,,,,,,,,,,,y,,y,,,,,,,,,,,y,,,,,,y,,y,,,
Strontoiller ,y,,,,,,,y,,,,,,,,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,?,,y,,,
